Order ID,Order Date,Ship Date,EmailID,Country,City,State,Revenue,Quantity,Profit,Month-Year,Shipping_Duration,,Profit_Margin,Category,Product Name
CA-2013-138688,6/13/2013,6/17/2013,DarrinVanHuff@gmail.com,United States,Los Angeles,California,14.62,2,6.87,June 2013,4,,47%,Labels,Self-Adhesive Address Labels for Typewriters by Universal
CA-2011-115812,6/9/2011,6/14/2011,BrosinaHoffman@gmail.com,United States,Los Angeles,California,48.86,7,14.17,June 2011,5,,29%,Furnishings,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood"
CA-2011-115812,6/9/2011,6/14/2011,BrosinaHoffman@gmail.com,United States,Los Angeles,California,7.28,4,1.97,June 2011,5,,27%,Art,Newell 322
CA-2011-115812,6/9/2011,6/14/2011,BrosinaHoffman@gmail.com,United States,Los Angeles,California,907.15,4,90.72,June 2011,5,,10%,Phones,Mitel 5320 IP Phone VoIP phone
CA-2011-115812,6/9/2011,6/14/2011,BrosinaHoffman@gmail.com,United States,Los Angeles,California,18.5,3,5.78,June 2011,5,,31%,Binders,DXL Angle-View Binders with Locking Rings by Samsill
CA-2011-115812,6/9/2011,6/14/2011,BrosinaHoffman@gmail.com,United States,Los Angeles,California,114.9,5,34.47,June 2011,5,,30%,Appliances,Belkin F5C206VTEL 6 Outlet Surge
CA-2011-115812,6/9/2011,6/14/2011,BrosinaHoffman@gmail.com,United States,Los Angeles,California,1706.18,9,85.31,June 2011,5,,5%,Tables,Chromcraft Rectangular Conference Tables
CA-2011-115812,6/9/2011,6/14/2011,BrosinaHoffman@gmail.com,United States,Los Angeles,California,911.42,4,68.36,June 2011,5,,8%,Phones,Konftel 250 Conference phone - Charcoal black
CA-2013-161389,12/6/2013,12/11/2013,IreneMaddox@gmail.com,United States,Seattle,Washington,407.98,3,132.59,December 2013,5,,32%,Binders,Fellowes PB200 Plastic Comb Binding Machine
CA-2011-167164,5/13/2011,5/15/2011,AlejandroGrove@gmail.com,United States,West Jordan,Utah,55.5,2,9.99,May 2011,2,,18%,Storage,Fellowes Super Stor/Drawer
